0,,ALL,3,Jackson Hole Symposium,0,41539,Sep 1 2012,Day 3,ALL,Jackson Hole Symposium,medium, , , 
1,2012.09.03 07:45,NZD,1,Overseas Trade Index q/q,1,40101,Sep 2 2012,6:45pm,NZD,Overseas Trade Index q/q,low,-2.3%,-2.0%, 
1,2012.09.03 08:30,AUD,1,AIG Manufacturing Index,2,38444,Sep 2 2012,7:30pm,AUD,AIG Manufacturing Index,low,40.3, ,45.3
1,2012.09.03 08:50,JPY,3,Capital Spending q/y,3,38947,Sep 2 2012,7:50pm,JPY,Capital Spending q/y,medium,3.3%,8.9%, 
1,2012.09.03 09:30,AUD,1,MI Inflation Gauge m/m,4,39236,Sep 2 2012,8:30pm,AUD,MI Inflation Gauge m/m,low,0.2%, ,0.6%
1,2012.09.03 10:00,CNY,1,Non-Manufacturing PMI,5,42260,Sep 2 2012,9:00pm,CNY,Non-Manufacturing PMI,low,55.6, ,56.3
1,2012.09.03 10:30,AUD,5,Retail Sales m/m,6,39497,Sep 2 2012,9:30pm,AUD,Retail Sales m/m,high, ,0.3%, 
1,2012.09.03 10:30,AUD,3,ANZ Job Advertisements m/m,7,39513,Sep 2 2012,9:30pm,AUD,ANZ Job Advertisements m/m,medium,-0.8%, ,-2.3%
1,2012.09.03 10:30,AUD,3,Company Operating Profits q/q,8,39459,Sep 2 2012,9:30pm,AUD,Company Operating Profits q/q,medium, ,1.1%, 
1,2012.09.03 11:30,CNY,3,HSBC Final Manufacturing PMI,9,38654,Sep 2 2012,10:30pm,CNY,HSBC Final Manufacturing PMI,medium,47.8, ,47.6
1,2012.09.03 15:30,AUD,1,Commodity Prices y/y,10,39189,Sep 3 2012,2:30am,AUD,Commodity Prices y/y,low, , ,-13.7%
1,2012.09.03 16:00,CHF,5,SNB Chairman Jordan Speaks,11,44141,Sep 3 2012,3:00am,CHF,SNB Chairman Jordan Speaks,high, , , 
1,2012.09.03 16:15,CHF,5,Retail Sales y/y,12,39288,Sep 3 2012,3:15am,CHF,Retail Sales y/y,high, ,3.5%, 
1,2012.09.03 16:15,EUR,3,Spanish Manufacturing PMI,13,43857,Sep 3 2012,3:15am,EUR,Spanish Manufacturing PMI,medium,42.3, ,44.0
1,2012.09.03 16:30,CHF,3,Manufacturing PMI,14,38508,Sep 3 2012,3:30am,CHF,Manufacturing PMI,medium,48.6,49.2, 
1,2012.09.03 16:45,EUR,3,Italian Manufacturing PMI,15,43511,Sep 3 2012,3:45am,EUR,Italian Manufacturing PMI,medium,44.3,44.9, 
1,2012.09.03 16:50,EUR,1,French Final Manufacturing PMI,16,58953,Sep 3 2012,3:50am,EUR,French Final Manufacturing PMI,low,46.2,46.2,46.0
1,2012.09.03 16:55,EUR,1,German Final Manufacturing PMI,17,59009,Sep 3 2012,3:55am,EUR,German Final Manufacturing PMI,low,45.1,45.1, 
1,2012.09.03 17:00,EUR,1,Final Manufacturing PMI,18,38509,Sep 3 2012,4:00am,EUR,Final Manufacturing PMI,low,45.3,45.3,45.1
1,2012.09.03 17:30,GBP,5,Manufacturing PMI,19,38553,Sep 3 2012,4:30am,GBP,Manufacturing PMI,high, ,46.1, 
0,,CAD,0,Bank Holiday,20,42020,Sep 3 2012,All Day,CAD,Bank Holiday,holiday, , , 
0,,USD,0,Bank Holiday,21,42039,Sep 3 2012,All Day,USD,Bank Holiday,holiday, , , 
1,2012.09.03 22:30,EUR,3,ECB President Draghi Speaks,22,44137,Sep 3 2012,9:30am,EUR,ECB President Draghi Speaks,medium, , , 
